,Name,type,fuel_c,fuel_m,fuel_n,max_canopy,forest,forest_shrub,obstruct,canopy_growth,to_ID,age_out,bark_thickness,site_index,tree_height_model,dbh_model,upland,succession_code
60025,Shallow_River_Dominated_Estuary_Gravel_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60026,Shallow_River_Dominated_Estuary_Shell_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60027,Shallow_River_Dominated_Estuary_Rock_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60028,Shallow_River_Dominated_Estuary_Sand_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,,
60029,Shallow_River_Dominated_Estuary_Mud_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,,
60030,Lagoonal_Shallow_Estuary_Gravel_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60031,Lagoonal_Shallow_Estuary_Shell_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60032,Lagoonal_Shallow_Estuary_Rock_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,,
60033,Lagoonal_Shallow_Estuary_Sand_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60034,Lagoonal_Shallow_Estuary_Mud_Bottom,1,98,98,98,0,0,0,0,0,,,,,,,0,
60100,Marine_Eelgrass_Meadow,1,98,98,98,0,0,0,0,0,,,,,,,,
60200,Marine_Intertidal_Mudflat,1,98,98,98,0,0,0,0,0,,,,,,,0,
60300,Marine_Intertidal_Gravel_Sand_Beach,1,99,99,99,0,0,0,0,0,,,,,,,0,
60400,Marine_Rocky_Intertidal_Shore,1,98,98,98,0,0,0,0,0,,,,,,,0,
60500,,,98,98,98,0,0,0,0,0,,,,,,,,
60501,Deep_Tidal_River_Gravel_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60502,Deep_Tidal_River_Sand_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60503,Deep_Tidal_River_Mud_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60504,Deep_Tidal_River_Shell_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60505,Deep_Tidal_River_Rock_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60506,Shallow_Tidal_River_Gravel_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60507,Shallow_Tidal_River_Shell_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60508,Shallow_Tidal_River_Rock_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60509,Shallow_Tidal_River_Sand_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60510,Shallow_Tidal_River_Mud_Bottom,2,98,98,98,0,0,0,0,0,,,,,,,0,
60600,,,98,98,98,0,0,0,0,0,,,,,,,,
60601,Deep_Saltwater_Tidal_Creek,2,98,98,98,0,0,0,0,0,,,,,,,0,
60700,Brackish_Subtidal_Aquatic_Bed,2,98,98,98,0,0,0,0,0,,,,,,,0,
60800,Low_Salt_Marsh,2,99,99,99,0,0,0,0,0,,,,,,,0,
60900,High_Salt_Marsh,2,14,14,14,0,0,0,0,0,,,,,,,0,
61000,Salt_Panne,2,99,99,99,0,0,0,0,0,,,,,,,0,
61100,Coastal_Salt_Pond,2,98,98,98,0,0,0,0,0,,,,,,,0,
61200,Brackish_Tidal_Marsh,2,14,14,14,0,0,0,0,0,,,,,,,0,
61300,Brackish_Intertidal_Mudflats,2,98,98,98,0,0,0,0,0,,,,,,,0,
61400,Brackish_Intertidal_Shore,2,98,98,98,0,0,0,0,0,,,,,,,0,
61500,Salt_Shrub,2,15,15,15,0,0,0,0,0,,,,,,,1,
61600,Midreach_Stream,2,98,98,98,0,0,0,0,0,,,,,,,,
61700,,,98,98,98,0,0,0,0,0,,,,,,,,
61701,Marsh_Headwater_Stream_Warm_Low_Gradient_Low_to_Moderately_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,,
61702,Marsh_Headwater_Stream_Warm_Low_Gradient_Moderately_to_Highly_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,,
61800,,,98,98,98,0,0,0,0,0,,,,,,,,
61801,Rocky_Headwater_Stream_Warm_High_Gradient_Low_to_Moderately_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,1,
61802,Rocky_Headwater_Stream_Warm_High_Gradient_Highly_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,,
61803,Rocky_Headwater_Stream_Warm_Moderate_Gradient_Low_to_Moderately_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,1,
61804,Rocky_Headwater_Stream_Warm_Moderate_Gradient_Highly_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,1,
61900,Intermittent_Streams,3,98,98,98,0,0,0,0,0,,,,,,,1,
62000,Coastal_Plain_Stream,3,98,98,98,0,0,0,0,0,,,,,,,1,
62100,Coastal_Plain_Pond,4,98,98,98,0,0,0,0,0,,,,,,,1,
62200,Eutrophic_Pond,4,98,98,98,0,0,0,0,0,,,,,,,1,
62201,Beaver_Pond,4,98,98,98,0,0,0,0,0,,,,,,,,
62300,Deep_Emergent_Marsh,5,98,98,98,0,0,0,0,0,,,,,,,1,
62400,Shallow_Emergent_Marsh,5,14,14,14,16,0,0,0,2,62500,,0.028,58,1,8,1,1
62500,Shrub_Swamp,5,15,15,15,50,0,0,0,1,62900,,0.028,58,1,8,1,1
62600,Coastal_Plain_Pond_Shore,5,15,15,15,50,0,1,0,1,73500,,0.04,30,6,6,1,1
62700,Highbush_Blueberry_Bog_Thicket,5,15,15,15,50,0,1,0,1,73300,,0.04,30,6,6,1,1
62800,Floodplain_Forest,5,26,27,27,90,1,0,0,1,,,0.04,61,3,6,1,
62900,Red_Maple_Hardwood_Swamp,5,16,16,16,90,1,0,0,1,,,0.028,58,1,8,1,
63000,Vernal_Pool,5,182,182,182,80,0,0,0,1,,,0.04,61,6,6,1,
63100,Coastal_Plain_Atlantic_Cedar_Swamp,5,16,16,16,80,1,0,0,1,,,0.25,43,8,5,1,
63200,Maritime_Beach,6,99,99,99,0,0,0,0,0,,,,,,,1,
63300,Maritime_Dunes,6,141,141,141,0,0,0,0,0,,,,,,,1,
63400,Maritime_Shrubland,6,146,146,143,50,0,1,1,1,73500,,0.04,30,6,6,1,1
63500,Hempstead_Plains_Grassland,6,123,106,103,16,0,0,0,2,64900,,0.04,61,6,6,1,1
63600,Shoreline_Outcrop,6,99,99,99,0,0,0,0,0,,,,,,,1,
63700,Calcareous_Shoreline_Outcrop,6,99,99,99,0,0,0,0,0,,,,,,,1,
63800,Cliff_Community,6,99,99,99,0,0,0,0,0,,,,,,,1,
63900,Calcareous_Cliff_Community,6,99,99,99,0,0,0,0,0,,,,,,,1,
64000,Serpentine_Barrens,6,124,123,103,50,0,1,1,1,,,0.04,30,6,6,1,
64100,Oak_Oppenings,6,24,25,25,60,1,1,1,1,,,0.045,30,11,7,1,
64200,Chestnut_Oak_Forest,6,17,18,19,80,1,1,1,1,,,0.043,56,7,2,1,
64300,Coastal_Oak_Beech_Forest,6,20,21,22,100,1,1,1,1,,,0.035,60,6,4,1,
64400,Coastal_Oak_Hickory_Forest,6,17,18,19,90,1,1,1,1,,,0.045,60,6,4,1,
64500,Oak_Tulip_Tree_Forest,6,17,18,19,100,1,1,1,1,,,0.043,60,6,4,1,
64600,Appalachian_Oak_Pine_Forest,6,24,25,25,75,1,1,1,1,,,0.038,60,6,4,1,
64700,Hemlock_Northern_Hardwoods,6,189,186,182,100,1,1,1,1,,,0.045,50,12,3,1,
64800,Successional_Old_Field,6,123,106,103,16,0,0,0,2,64900,,0.04,61,6,6,1,1
64900,Successional_Shrubland,6,148,143,146,50,0,1,1,1,73300,,0.04,61,6,6,1,1
65000,Horticultural_Field,6,103,103,103,0,0,0,0,0,,,,,,,1,
65100,Trail,6,189,186,182,0,0,0,0,0,,,,,,,1,
65200,Shell_Middens,6,99,99,99,0,0,0,0,0,,,,,,,1,
65300,Wigwams_and_Longhouses,6,163,163,163,0,0,0,0,0,,,,,,,1,
65400,Campsites,6,99,99,99,0,0,0,0,0,,,,,,,1,
65500,Talus_Cave,6,99,99,99,0,0,0,0,0,,,,,,,1,
65600,Calcareous_Talus_Cave,6,99,99,99,0,0,0,0,0,,,,,,,1,
65700,Spring,6,98,98,98,0,0,0,0,0,,,,,,,,
65801,Confined_River_Moderate_to_High_Gradient_Low_to_Moderately_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,,
65802,Confined_River_Moderate_to_High_Gradient_Well_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,,
65803,Confined_River_Low_Gradient_Low_to_Moderately_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,,
65804,Confined_River_Low_Gradient_Well_Buffered,3,98,98,98,0,0,0,0,0,,,,,,,,
70000,Brackish_Meadow,2,14,14,14,0,0,0,0,0,,,,,,,1,
70100,Sea_Level_Fen,5,15,15,15,16,0,0,0,1,64900,,0.04,61,6,6,1,1
70200,Brackish_Interdunal_Swale,2,98,98,98,0,0,0,0,0,,,,,,,,
70300,Backwater_Slough,3,98,98,98,0,0,0,0,0,,,,,,,,
70400,Bog_Pond,4,98,98,98,0,0,0,0,0,,,,,,,1,
70500,Oligotrophic_Pond,4,98,98,98,0,0,0,0,0,,,,,,,1,
70600,Pine_Barrens_Shrub_Swamp,5,15,15,15,50,0,0,0,1,,,0.045,57,11,7,1,
70700,Oxbow_Pond,4,98,98,98,0,0,0,0,0,,,,,,,,
70800,Coastal_Plain_Poor_Fen,5,14,14,14,0,0,0,0,0,,,,,,,,
70900,Inland_Atlantic_Cedar_Swamp,5,16,16,16,90,1,1,0,1,,,0.025,43,8,5,1,
71000,Red_Maple_Black_Gum_Swamp,5,16,16,16,90,1,1,0,1,,,0.034,58,1,8,1,
71001,Red_Maple_SweetGum_Swamp,5,16,16,16,90,1,1,0,1,,,0.032,58,1,8,1,
71100,Rich_Shrub_Fen,5,14,14,14,0,0,0,0,0,,,,,,,,
71200,Dwarf_Shrub_Bog,5,15,15,15,50,0,0,0,1,62900,,0.028,58,1,8,1,1
71300,Rich_Graminoid_Fen,5,14,14,14,0,0,0,0,0,,,,,,,,
71400,Medium_Fen,5,14,14,14,0,0,0,0,0,,,,,,,,
71500,Inland_Poor_Fen,5,14,14,14,0,0,0,0,0,,,,,,,,
71600,Maritime_Holly_Forest,6,146,162,144,65,1,1,1,1,,,0.042,30,6,6,1,
71700,Maritime_Pitch_Pine_Dunes,6,24,25,25,65,1,1,1,1,,,0.045,30,11,7,1,
71800,Maritime_Oak_Forest,6,24,25,25,65,1,1,1,1,,,0.044,30,6,4,1,
71900,Maritime_Freshwater_Interdunal_Swale,6,14,14,14,0,0,0,0,0,,,,,,,1,
72000,Maritime_Beech_Forest,6,20,21,22,65,1,1,1,1,,,0.035,35,5,1,1,
72100,Maritime_Bluffs,6,99,99,99,0,0,0,0,0,,,,,,,1,
72101,Rocky_Bluffs,6,99,99,99,0,0,0,0,0,,,,,,,1,
72200,Calcareous_Talus_Slope_Woodland,6,189,186,182,60,1,1,1,1,,,0.04,61,6,6,1,
72300,Acidic_Talus_Slope_Woodland,6,189,186,182,60,1,1,1,1,,,0.04,61,6,6,1,
72400,Post_Oak_Black_Jack_Oak_Barrens,6,146,162,144,60,1,1,1,1,,,0.044,30,6,4,1,
72500,Pitch_Pine_Oak_Forest,6,24,25,25,65,1,1,1,1,,,0.045,57,11,7,1,
72600,Coastal_Oak_Laurel_Forest,6,17,18,19,90,1,1,1,1,,,0.045,60,6,4,1,
72700,Coastal_Oak_Heath_Forest,6,17,18,19,90,1,1,1,1,,,0.045,60,6,4,1,
72800,Appalachian_Oak_Hickory_Forest,6,17,18,19,90,1,1,1,1,,,0.045,60,6,4,1,
72900,Beech_Maple_Mesic_Forest,6,20,21,22,100,1,1,1,1,,,0.029,57,5,1,1,
73000,Successional_Fern_Meadow,6,123,106,103,16,0,0,1,2,,,0.04,61,6,6,1,
73100,Successional_Blueberry_Heath,6,148,143,146,50,0,1,1,1,,,0.04,61,6,6,1,
73200,Successional_Northern_Sandplain_Grasslands,6,123,106,103,16,0,0,1,2,,,0.04,61,6,6,1,
73300,Successional_Northern_Hardwoods,6,189,186,182,90,1,1,1,1,,50,0.04,61,6,6,1,2
73400,Successional_Southern_Hardwoods,6,189,186,182,90,1,1,1,1,,50,0.04,61,6,6,1,2
73500,Successional_Maritime_Hardwoods,6,146,146,143,90,1,1,1,1,,50,0.04,30,6,6,1,2
73600,Maritime_Grassland,6,123,106,103,16,0,0,0,2,64900,,0.04,61,6,6,1,
73700,Maritime_Heathland,6,123,106,103,16,0,0,0,2,64900,,0.04,61,6,6,1,
